step,total,correctness,format,style
1,0.37095731658943,0.0202943627955392,0.37497499999999995,0.7196114286780357
2,0.36046337204784157,0.013664317782968283,0.3333,0.7208441123366356
3,0.38264884188853204,0.022454829304479063,0.37497499999999995,0.746679775416851
4,0.37371224862605334,0.021659277845174074,0.37497499999999995,0.7251338437199593
5,0.31340784765213725,0.03273531002923846,0.41664999999999996,0.5424593091011047
6,0.38126405646357686,0.017959305609110743,0.3333,0.7685508355498314
7,0.3707267651510612,0.01567098597297445,0.41664999999999996,0.7028209269046783
8,0.3666868073752523,0.03786617564037442,0.3333,0.7122008427977562
9,0.3821645486083627,0.038073229137808084,0.37497499999999995,0.7298506423830986
10,0.38275166190311316,0.023288002936169505,0.37497499999999995,0.7461036518216133
11,0.3435752635024116,0.026092177897226065,0.3541375,0.6557772308588028
12,0.4057944972971082,0.025059920269995928,0.458325,0.7602638229727745
13,0.37066741767371075,0.023922661232063547,0.3333,0.7360958829522133
14,0.3742911350800097,0.026865571970120072,0.3333,0.7422122657299042
15,0.33862142699103803,0.01923837576759979,0.3333,0.6606651917099953
16,0.3846074687217921,0.025281356531195343,0.3541375,0.7591685652732849
17,0.3761834971521795,0.01969177625142038,0.37497499999999995,0.7332794666290283
18,0.41505100204974416,0.03847704129293561,0.41664999999999996,0.7908254638314247
19,0.3764002649494261,0.0373470758786425,0.37497499999999995,0.7161660864949226
20,0.38737178628090774,0.019056263437960297,0.3958125,0.7514669522643089
21,0.29191308251056824,0.02384145144606009,0.3541375,0.5288725048303604
22,0.3712199011005834,0.028026729181874543,0.3333,0.7333730235695839
23,0.363843984471485,0.014768987777642906,0.3333,0.7281909734010696
24,0.3744868841402978,0.02253374911379069,0.37497499999999995,0.7261959612369537
25,0.39446684200257065,0.013052135240286589,0.3541375,0.79604621976614
26,0.38351773847259585,0.04535943700466305,0.41664999999999996,0.7051099091768265
27,0.4027836834912747,0.05964681401383132,0.3541375,0.7702436447143555
28,0.36522264961559325,0.02930461085634306,0.3541375,0.7066832631826401
29,0.3783494222810119,0.0292554966872558,0.3541375,0.739549309015274
30,0.36785121465831994,0.030003848019987345,0.3333,0.7229741886258125
31,0.367060428102836,0.03314253257121891,0.3541375,0.7074397876858711
32,0.3821466897515208,0.04082496336195618,0.3541375,0.7374730110168457
33,0.3731675996564702,0.014037811022717506,0.3333,0.7522311881184578
34,0.3825384243758023,0.05086234328337014,0.3541375,0.7284149676561356
35,0.36956695105496795,0.033489883004222065,0.37497499999999995,0.7029399946331978
36,0.3673065928629041,0.015772220212966204,0.3333,0.735844261944294
37,0.2817282286606356,0.022929367318283767,0.3541375,0.5043224543333054
38,0.30459076724097134,0.05592952365987003,0.37497499999999995,0.5180598944425583
39,0.38351901927396653,0.04412599909119308,0.41664999999999996,0.7063465490937233
40,0.3837393175041303,0.027881317713763565,0.39581249999999996,0.7335607260465622
41,0.37064248392157256,0.03244130953680724,0.3333,0.7275149002671242
42,0.3891908656720817,0.026662499411031604,0.37497499999999995,0.7588271647691727
43,0.402765363281928,0.07064805639674887,0.3541375,0.7591966018080711
44,0.38103837747067215,0.03125041676685214,0.3541375,0.7442767769098282
45,0.3749113297266141,0.01871083682635799,0.41664999999999996,0.7102424874901772
46,0.24302898128658532,0.026525104884058237,0.5208375,0.3206285983324051
47,0.39403374296553434,0.03772980731446296,0.3541375,0.7702858000993729
48,0.38164889499485494,0.043779280968010426,0.3541375,0.7332742065191269
49,0.3884196972883493,0.043197356280870736,0.41664999999999996,0.7195268869400024
50,0.35611784389507023,0.013636867690365762,0.3333,0.7100077420473099
51,0.3002926861768216,0.0167350237024948,0.3541375,0.5569279417395592
52,0.36881956238240005,0.019653744529932737,0.3541375,0.7253264114260674
53,0.280903730250746,0.05769779370166361,0.3333,0.4779115319252014
54,0.31678985232893375,0.012527192069683224,0.3541375,0.6023786887526512
55,0.3422448638014868,0.001290729094762355,0.3333,0.6876714304089546
56,0.39978166059024633,0.017279753577895463,0.41664999999999996,0.7738493978977203
57,0.3756386856943369,0.009721488691866398,0.3958125,0.7314689755439758
58,0.39966342080183326,0.07253755175042897,0.3333,0.7599710002541542
59,0.33475572107724844,0.043147151242010295,0.41664999999999996,0.5854171514511108
60,0.3809798891105503,0.012897972366772592,0.37497499999999995,0.7520642504096031
61,0.27470407641250644,0.01536551333265379,0.3958125,0.4734884276986122
62,0.37308041331723335,0.006010319339111447,0.41664999999999996,0.7183657139539719
63,0.3798340343347937,0.028323744074441493,0.41664999999999996,0.7129363417625427
64,0.3909739072596654,0.046768066415097564,0.3958125,0.732760451734066
65,0.40193082321941853,0.026722264476120472,0.4374875,0.7593610435724258
66,0.38374242581367496,0.027532093226909637,0.3541375,0.7547552213072777
67,0.37673705864384777,0.024724412010982633,0.41664375,0.7087963595986366
68,0.36517954239845274,0.0025754719972610474,0.3958125,0.7124671339988708
69,0.3879005290017277,0.03008254582528025,0.37497499999999995,0.752181276679039
70,0.38121380746912215,0.012437943543773144,0.37497499999999995,0.7531090751290321
71,0.2685289932781458,0.00458203349262476,0.3541375,0.4896716997027397
72,0.3874910300964117,0.04076132085174322,0.3541375,0.750897504389286
73,0.4021787118998915,0.015632153139449656,0.3541375,0.8127458766102791
74,0.3782292745717988,0.028825428744312376,0.41664999999999996,0.7084227576851845
75,0.3711478921020031,0.008220447227358818,0.3541375,0.7425805330276489
76,0.39127549274440854,0.06359008600702509,0.37497499999999995,0.7271111458539963
77,0.2933962270504237,0.028309793211519718,0.3333,0.5385307744145393
78,0.38694673845767974,0.0531264990568161,0.39581249999999996,0.7163340970873833
79,0.3582356540387124,0.012338829110376537,0.3541375,0.7061815559864044
80,0.38003804939232766,0.03148375207092613,0.41664999999999996,0.710286371409893
81,0.38681508658353236,0.051938414631877095,0.41664999999999996,0.7067743018269539
82,0.37211173175774515,0.017480870126746595,0.3541375,0.7357297092676163
83,0.3917192842260748,0.04958881868515164,0.37497499999999995,0.7422218918800354
84,0.21102824769347905,0.030752708669751883,0.41664999999999996,0.28849291056394577
85,0.39591331192374235,0.029822876676917076,0.37497499999999995,0.7724729031324387
86,0.3661024229516089,0.02258628816343844,0.37497499999999995,0.7051822692155838
87,0.3708149092652649,0.0124175421660766,0.37497499999999995,0.7271322309970856
88,0.2035638881339133,0.0067791512701660395,0.4374875,0.28338681906461716
89,0.3703539595360309,0.038333133910782635,0.3333,0.7209017649292946
90,0.39571313917577267,0.0389918452128768,0.3541375,0.7732222527265549
91,0.2870191879019886,0.017189606674946845,0.37497499999999995,0.5128708630800247
92,0.4097122913141549,0.038050442235544324,0.37497499999999995,0.7987427860498428
93,0.3467766399382055,0.03282992145977914,0.3333,0.6674616783857346
94,0.30547437047950926,0.04816588561516255,0.41664999999999996,0.5071950405836105
95,0.3598814634958655,0.0306987656513229,0.3333,0.7023548930883408
96,0.3843904299315438,0.04767060320591554,0.3333,0.7466554716229439
97,0.3881098365806043,0.05949318385683,0.3958125,0.7128751575946808
98,0.37391258099988106,0.046560730086639524,0.3541375,0.711151972413063
99,0.38852038382634524,0.013335248222574592,0.37497499999999995,0.7704782113432884
100,0.3754077418636531,0.012416126090101898,0.3958125,0.7281969785690308
101,0.37938968600969764,0.03605761256767437,0.3333,0.7457666024565697
102,0.21401122498083858,0.05647775327088311,0.39581249999999996,0.2806440591812134
103,0.28547732668403536,0.013711453473661095,0.3541375,0.5229131132364273
104,0.3912048231580667,0.04207054522703402,0.3333,0.7692915126681328
105,0.34304418618731203,0.012420139159075916,0.3541375,0.6681215763092041
106,0.22803311673074964,0.03505693236365914,0.37497499999999995,0.3475383594632149
107,0.36607637083098293,0.024582099867984653,0.3541375,0.7135400772094727
108,0.3349558171731234,0.020033841021358967,0.37497499999999995,0.6298682019114494
109,0.36075401465672996,0.024417930573690683,0.3333,0.7108171060681343
110,0.4005205417884141,0.01479630556423217,0.3541375,0.8094362989068031
111,0.38336653284668926,0.05545899458229542,0.3541375,0.7258885875344276
112,0.35756041613671935,0.006708311440888792,0.3333,0.7205427289009094
113,0.40015776524543767,0.069972924888134,0.3958125,0.73251523822546
114,0.37621947162725033,0.02637928316835314,0.3541375,0.7371006458997726
115,0.37353620067037646,0.03187947778496891,0.3333,0.7353110238909721
116,0.2931828949967027,0.022368526551872492,0.3541375,0.5335199609398842
117,0.36802116357155146,0.012508257408626378,0.41664999999999996,0.6992196515202522
118,0.3727164085841179,0.04861899092793465,0.3333,0.7165220305323601
119,0.37537362104222183,0.021713391644880176,0.3541375,0.7396519109606743
120,0.3844258532280475,0.04356663778889924,0.3333,0.7508479952812195
121,0.36329873957611625,0.006756232702173293,0.3541375,0.7244218662381172
122,0.3707234377640859,0.008474361209664494,0.3541375,0.7412654832005501
123,0.3909225411614031,0.004710278823040426,0.3541375,0.7955273240804672
124,0.23405154009390625,0.028324102808255702,0.4374875,0.33806099742650986
125,0.3695470807756111,0.03149491286603734,0.37497499999999995,0.7048852890729904
