step,total,correctness,format,style
1,0.38684217197902504,0.0202943627955392,0.37497499999999995,0.7593235671520233
2,0.36808072644084694,0.013664317782968283,0.3333,0.739887498319149
3,0.3956290705510229,0.022454829304479063,0.37497499999999995,0.7791303470730782
4,0.37788605791598556,0.021659277845174074,0.37497499999999995,0.7355683669447899
5,0.31837612129181625,0.03273531002923846,0.41664999999999996,0.5548799932003021
6,0.3943702071326226,0.014596407185308635,0.3333,0.8046791106462479
7,0.3935290096503869,0.017399800999555737,0.41664999999999996,0.7580977231264114
8,0.3772361328712106,0.03620243305340409,0.3333,0.7402378991246223
9,0.38128877476871015,0.039798724465072155,0.37497499999999995,0.7259357124567032
10,0.4122882671569288,0.0254980546887964,0.37497499999999995,0.8177351132035255
11,0.35046426198851316,0.027701304468791932,0.3541375,0.671390600502491
12,0.41945942053288227,0.02182342065498233,0.458325,0.7976626306772232
13,0.3746174282746762,0.023603646899573505,0.3333,0.746289923787117
14,0.3840732565967739,0.027150879381224513,0.3333,0.7663822621107101
15,0.33619614230733363,0.018384826078545302,0.3333,0.6554555296897888
16,0.397262151715681,0.027429738896898925,0.3541375,0.7886568903923035
17,0.3856032806829363,0.019828083575703204,0.37497499999999995,0.7566926181316376
18,0.4302297241929174,0.03827450470998883,0.41664999999999996,0.8289748057723045
19,0.3770676365023107,0.03534810512792319,0.3541375,0.7302522361278534
20,0.40449577323617414,0.01952905164216645,0.3958125,0.7938041314482689
21,0.30889699865538633,0.02385959803359583,0.3541375,0.5713141486048698
22,0.3854996364683286,0.027144186256919056,0.3333,0.7699549049139023
23,0.37049290420286357,0.015494437771849334,0.3333,0.7440878227353096
24,0.3853507255119085,0.0222604563459754,0.37497499999999995,0.7536288574337959
25,0.4052846141526103,0.011096290778368711,0.3541375,0.825046494603157
26,0.3875784872508794,0.046548551064915955,0.41664999999999996,0.7140726670622826
27,0.41766757563628254,0.05995656049344689,0.3541375,0.8071436285972595
28,0.37230309267934414,0.029442211554851383,0.3541375,0.7242467701435089
29,0.39075538240313534,0.02393294684588909,0.3541375,0.7758867591619492
30,0.37816426436215644,0.030424681026488543,0.3333,0.7483359798789024
